,wav,sentence,label
0,Ses01F_impro01_F000,Excuse me.,neu
1,Ses01F_impro01_M000,Do you have your forms?,fru
2,Ses01F_impro01_F001,Yeah.,neu
3,Ses01F_impro01_M001,Let me see them.,fru
4,Ses01F_impro01_F002,Is there a problem?,neu
5,Ses01F_impro01_M002,Who told you to get in this line?,fru
6,Ses01F_impro01_F003,You did.,xxx
7,Ses01F_impro01_F004,You were standing at the beginning and you directed me.,xxx
8,Ses01F_impro01_M003,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru
9,Ses01F_impro01_F005,Well what's the problem?  Let me change it.,neu
10,Ses01F_impro01_M004,This form is a Z.X.four.,fru
11,Ses01F_impro01_M005,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",fru
12,Ses01F_impro01_F006,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,fru
13,Ses01F_impro01_M006,No. I need another set of ID to prove this is actually you.,fru
14,Ses01F_impro01_F007,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,fru
15,Ses01F_impro01_M007,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,fru
16,Ses01F_impro01_F008,I'm here to get an ID.,fru
17,Ses01F_impro01_M008,"No.  I need another ID, a separate one.",fru
18,Ses01F_impro01_F009,Like what?  Like a birth certificate?,fru
19,Ses01F_impro01_M009,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",fru
20,Ses01F_impro01_F010,Who the hell has a birth certificate?,xxx
21,Ses01F_impro01_F011,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",fru
22,Ses01F_impro01_M010,"Yeah.  We keep it on file, but we need an ID to access that file.",fru
23,Ses01F_impro01_F012,That's out of control.,ang
24,Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,ang
25,Ses01F_impro01_F013,How long have you been working here?,fru
26,Ses01F_impro01_M012,Actually too long.,xxx
27,Ses01F_impro01_F014,"Clearly.  You know, do you have like a supervisor or something?",neu
28,Ses01F_impro01_M013,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,ang
29,Ses01F_impro01_F015,That would - I would appreciate that.  Yeah.,fru
30,Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,sad
31,Ses01F_impro02_M000,It's not fair.,xxx
32,Ses01F_impro02_F001,Yeah.  I know.,sad
33,Ses01F_impro02_M001,"I don't understand.  You've already done so much, I don't know why do you have to go back.",sad
34,Ses01F_impro02_F002,I don't know.  I put in that. request too. They didn't...,sad
35,Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",neu
36,Ses01F_impro02_M002,"I don't know, it's just not fair.  I think you've already made your sacrifice.",xxx
37,Ses01F_impro02_F004,"There's people that have given more though, you know?",sad
38,Ses01F_impro02_M003,I just don't see how they can make you leave when you have a new baby - we have a new kid.,fru
39,Ses01F_impro02_F005,I know.,sad
40,Ses01F_impro02_M004,Then why is that fair?  Why--,xxx
41,Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",neu
42,Ses01F_impro02_M005,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sad
43,Ses01F_impro02_F007,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",xxx
44,Ses01F_impro02_M006,I'm just trying to think of another way.  I'm just trying to...,xxx
45,Ses01F_impro02_F008,"Just, you know, kicking myself.",sad
46,Ses01F_impro02_F009,like you sign up because you need money and,xxx
47,Ses01F_impro02_F010,things just aren't what they seem.,sad
48,Ses01F_impro02_M007,This is a stupid war.,xxx
49,Ses01F_impro02_F011,"We're doing the right thing, though.",xxx
50,Ses01F_impro02_M008,I know.,fru
51,Ses01F_impro02_M009,I just don't see why it has to be you.,sad
52,Ses01F_impro02_F012,"If not me then, who?",sad
53,Ses01F_impro02_M010,What am I going to do? Huh?,sad
54,Ses01F_impro02_F013,"You'll videotape everything, yeah?",sad
55,Ses01F_impro02_M011,Yeah.,sad
56,Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",sad
57,Ses01F_impro02_M012,Don't you guys have access to computers over there.,neu
58,Ses01F_impro02_F015,Last month--  Yeah.,sad
59,Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,sad
60,Ses01F_impro02_F016,I have to find sitters.,neu
61,Ses01F_impro02_M014,I can't raise a baby by myself.  How?,sad
62,Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad
63,Ses01F_impro02_M015,I know.,neu
64,Ses01F_impro02_F018,And your mother is close by.,neu
65,Ses01F_impro02_F019,I'll send you lots of letters.,sad
66,Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,sad
67,Ses01F_impro02_M016,It's just not fair.,fru
68,Ses01F_impro03_M000,So what's up?  What's new?,neu
69,Ses01F_impro03_F000,Well Vegas was awesome.,hap
70,Ses01F_impro03_M001,Yeah.  I heard.,neu
71,Ses01F_impro03_F001,"And, um, I got married.",hap
72,Ses01F_impro03_M002,Shut up.  No- in Vegas?,sur
73,Ses01F_impro03_F002,Yeah.  In the old town part.,hap
74,Ses01F_impro03_M003,Who did you marry?,exc
75,Ses01F_impro03_F003,Chuck. [LAUGHTER],xxx
76,Ses01F_impro03_M004,Did you propose to you?,xxx
77,Ses01F_impro03_F004,Um- Yes.  It was very romantic.,hap
78,Ses01F_impro03_F005,It was at the slot machines.,hap
79,Ses01F_impro03_M005,Oh.  The Wheel of Fortune slots?,xxx
80,Ses01F_impro03_F006,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap
81,Ses01F_impro03_M006,He turned to you and was like...,neu
82,Ses01F_impro03_F007,Hey.  Let's get married and I said okay.,xxx
83,Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,hap
84,Ses01F_impro03_F008,"Yeah.  Well.  You know, because he's leaving the next day.",hap
